year,origin,destination,trade_value
2000,AGO,TGO,3012.0
2000,AGO,THA,21511318.0
2000,AGO,TUN,43485.0
2000,AGO,TWN,262902922.00000003
2000,AGO,USA,3112043071.0
2000,AGO,VEN,19793.0
2000,AGO,VNM,44869.0
2000,AGO,ZAF,9754669.0
2000,AGO,ZWE,542.0
2000,AIA,ATG,12636.0
2000,AIA,AUT,14481.0
2000,AIA,AZE,91212.0
2000,AIA,BEL,1755.0
2000,AIA,BGR,203.0
2000,AIA,BLR,387.0
2000,AIA,BRB,8505.0
2000,AIA,CAN,5751.0
2000,AIA,CHE,29919.0
2000,AIA,DEU,22510.0
2000,AIA,DMA,16184.000000000002
2000,AIA,ESP,34248.0
2000,AIA,EST,14868.0
2000,AIA,FRA,568264.0
2000,AIA,GBR,205745.0
2000,AIA,GRC,10125.0
2000,AIA,GRD,69735.0
2000,AIA,GUY,115.0
2000,AIA,IDN,44084.0
2000,AIA,IRL,38102.0
2000,AIA,ITA,590.0
2000,AIA,JAM,9122.0
2000,AIA,JPN,133300.0
2000,AIA,KHM,756.0
2000,AIA,KNA,8811.0
2000,AIA,KOR,125168.0
2000,AIA,MEX,1702.0
2000,AIA,NAM,20.0
2000,AIA,NLD,25780.0
2000,AIA,RUS,53805.0
2000,AIA,SLV,66048.0
2000,AIA,SVK,150.0
2000,AIA,SWE,1091.0
2000,AIA,TTO,4762.0
2000,AIA,TZA,5058.0
2000,AIA,USA,875228.0
2000,AIA,VCT,48958.0
2000,AIA,VNM,13291.0
2000,AIA,ZAF,3966.0
2000,AIA,ZWE,6881.0
2000,ALB,AFG,209.0
2000,ALB,AND,52703.0
2000,ALB,ARG,2209.0
2000,ALB,AUS,283722.0
2000,ALB,AUT,3715244.0
2000,ALB,BEL,1218480.0
2000,ALB,BGR,131384.0
2000,ALB,BLR,1236159.0
2000,ALB,BOL,1143.0
2000,ALB,BRA,333187.0
2000,ALB,BRB,464.0
2000,ALB,CAN,102773.0
2000,ALB,CHE,458303.0
2000,ALB,CHL,6931.0
2000,ALB,CHN,2018.0
2000,ALB,CIV,6835.0
2000,ALB,CMR,6549.0
2000,ALB,COL,41854.0
2000,ALB,CRI,31513.0
2000,ALB,CUB,152313.0
2000,ALB,CYP,25247.0
2000,ALB,CZE,700817.0
2000,ALB,DEU,29586423.0
2000,ALB,DMA,6340.0
2000,ALB,DNK,3352098.0
2000,ALB,DZA,28930.0
2000,ALB,ESP,1577072.0
2000,ALB,EST,1243.0
2000,ALB,ETH,9315.0
2000,ALB,FIN,140220.0
2000,ALB,FRA,12793835.0
2000,ALB,GAB,2635.0
2000,ALB,GBR,2037964.0
2000,ALB,GEO,11612.0
2000,ALB,GRC,55580844.0
2000,ALB,GTM,33627.0
2000,ALB,GUY,13317.0
2000,ALB,HKG,45178.0
2000,ALB,HND,40183.0
2000,ALB,HRV,925986.0
2000,ALB,HUN,80780.0
2000,ALB,IDN,28213.0
2000,ALB,IND,34595.0
2000,ALB,IRL,109316.0
2000,ALB,ISL,11204.0
2000,ALB,ISR,6316.0
2000,ALB,ITA,199820426.0
2000,ALB,JAM,15079.0
2000,ALB,JPN,699494.0
2000,ALB,KHM,7564.0
2000,ALB,KNA,7086.0
2000,ALB,KOR,209.0
2000,ALB,LBN,11266.0
2000,ALB,LCA,124.0
2000,ALB,LTU,13400.0
2000,ALB,LUX,9583.0
2000,ALB,MDA,351348.0
2000,ALB,MDG,2706.0
2000,ALB,MEX,436773.0
2000,ALB,MKD,4587232.0
2000,ALB,MLT,560.0
2000,ALB,MOZ,81480.0
2000,ALB,MUS,5549.0
2000,ALB,MYS,18218.0
2000,ALB,MYT,4837.0
2000,ALB,NER,203.0
2000,ALB,NGA,920032.0
2000,ALB,NLD,1414904.0
2000,ALB,NOR,51780.0
2000,ALB,NZL,1903.0
2000,ALB,PAN,81390.0
2000,ALB,PER,15692.0
2000,ALB,PHL,375200.0
2000,ALB,PRT,150012.0
2000,ALB,PYF,5799.0
2000,ALB,ROU,58985.0
2000,ALB,RUS,1089400.0
2000,ALB,SAU,2288.0
2000,ALB,SCG,7249154.0
2000,ALB,SDN,3500.0
2000,ALB,SEN,21695.0
2000,ALB,SGP,14465.0
2000,ALB,SVK,147862.0
2000,ALB,SVN,878728.0
2000,ALB,SWE,657448.0
2000,ALB,THA,105993.0
2000,ALB,TUN,6359.0
2000,ALB,TUR,3426602.0
2000,ALB,TWN,36394.0
2000,ALB,USA,7121632.0
2000,ALB,VEN,54412.0
2000,ALB,VNM,6948.0
2000,ALB,ZAF,9606.0
2000,ALB,ZWE,310.0
2000,AND,ALB,566.0
2000,AND,ARE,1930.0
2000,AND,ARG,44608.0
2000,AND,ATG,206.0
2000,AND,AUT,474297.0
2000,AND,BEL,231829.0
2000,AND,BGR,127.0
2000,AND,BLR,1186.0
2000,AND,BRA,860.0
2000,AND,BRB,381.0
2000,AND,CAN,547.0
2000,AND,CHE,293982.0
2000,AND,CHL,10170.0
2000,AND,CHN,6965.0
2000,AND,CIV,187.0
2000,AND,CMR,114.0
2000,AND,COL,8586.0
2000,AND,CRI,237349.0
2000,AND,CUB,663.0
2000,AND,CYP,3923.0
2000,AND,CZE,31028.0
2000,AND,DEU,897054.0
2000,AND,DNK,9142.0
2000,AND,DOM,54.0
2000,AND,DZA,802011.0
2000,AND,ESP,28548209.0
2000,AND,EST,14413.0
2000,AND,ETH,8500.0
2000,AND,FIN,220.0
2000,AND,FRA,12655739.0
2000,AND,GBR,245256.0
2000,AND,GIB,41839.0
2000,AND,GRC,846586.0
2000,AND,GUY,32.0
2000,AND,HKG,1056915.0
2000,AND,HRV,448.0
2000,AND,HUN,1000.0
2000,AND,IDN,142147.0
2000,AND,IND,30612.0
2000,AND,IRL,13194.0
2000,AND,ITA,430179.0
2000,AND,KAZ,14865.0
2000,AND,KNA,764.0
2000,AND,KOR,2253360.0
2000,AND,LBN,191329.0
2000,AND,LTU,75757.0
2000,AND,LUX,1357.0
2000,AND,LVA,50235.0
2000,AND,MAR,980.0
2000,AND,MKD,119138.0
2000,AND,MWI,482.0
2000,AND,MYS,273247.0
2000,AND,MYT,131.0
2000,AND,NGA,200947.0
2000,AND,NLD,948143.0
2000,AND,NOR,346270.0
2000,AND,PER,47308.0
2000,AND,POL,49930.0
2000,AND,PRT,183898.0
2000,AND,ROU,143007.0
2000,AND,RUS,405418.0
2000,AND,SAU,35531.0
2000,AND,SCG,104.0
2000,AND,SDN,7753.0
2000,AND,SEN,95.0
2000,AND,SGP,1989879.0
2000,AND,SVK,50737.0
2000,AND,SVN,8491.0
2000,AND,SWE,63317.0
2000,AND,THA,177740.0
2000,AND,TTO,6218.0
2000,AND,TUR,196484.0
2000,AND,TWN,7618.0
2000,AND,TZA,156744.0
2000,AND,UGA,11229.0
2000,AND,URY,18983.0
2000,AND,USA,825781.0
2000,AND,VEN,6119.0
2000,AND,VNM,8085.000000000001
2000,AND,ZAF,31541.0
2000,ANT,ALB,135757.0
2000,ANT,AND,455.0
2000,ANT,ARM,545652.0
2000,ANT,ATG,37669904.0
2000,ANT,AUS,160420.0
2000,ANT,AUT,109722.0
2000,ANT,AZE,3310.0
2000,ANT,BEL,25852689.0
2000,ANT,BGR,7779.0
2000,ANT,BHS,47637749.0
2000,ANT,BLR,12200.0
2000,ANT,BLZ,20222252.0
2000,ANT,BOL,639232.0
2000,ANT,BRA,20706908.0
2000,ANT,BRB,987050.0
2000,ANT,CAN,21115001.0
2000,ANT,CHE,986181.0
2000,ANT,CHN,8.0
2000,ANT,CIV,1819720.0
2000,ANT,COL,1482992.0
2000,ANT,CPV,1588.0
2000,ANT,CRI,435967.0
2000,ANT,CUB,23868455.0
2000,ANT,CYP,8064.0
2000,ANT,CZE,8316.0
2000,ANT,DEU,37392433.0
2000,ANT,DMA,67.0
2000,ANT,DNK,2448.0
2000,ANT,ECU,12538558.0
2000,ANT,ESP,15204171.0
2000,ANT,EST,133.0
2000,ANT,ETH,1222031.0
2000,ANT,FRA,92390535.0
2000,ANT,GBR,20891974.0
2000,ANT,GIN,179438.0
2000,ANT,GRC,5479.0
2000,ANT,GRD,1380599.0
2000,ANT,GUY,6248171.0
2000,ANT,HKG,402335.0
2000,ANT,HND,65560496.0
2000,ANT,HUN,10000.0
2000,ANT,IDN,17165322.0
2000,ANT,IND,142543.0
2000,ANT,IRL,104636.0
2000,ANT,ITA,6866650.0
2000,ANT,JAM,9920242.0
2000,ANT,JPN,3987693.0
2000,ANT,KNA,1586220.0
2000,ANT,KOR,92540.0
2000,ANT,LKA,1415.0
2000,ANT,MEX,7140256.0
2000,ANT,MWI,1222.0
2000,ANT,MYT,32.0
2000,ANT,NGA,11662497.0
2000,ANT,NIC,22476108.0
2000,ANT,NLD,35549494.0
2000,ANT,NOR,22895.0
2000,ANT,PAN,56295538.0
2000,ANT,PER,365635.0
2000,ANT,PHL,753537.0
2000,ANT,POL,156854.0
2000,ANT,PRT,3290445.0
2000,ANT,PRY,51094.0
2000,ANT,PYF,674.0
2000,ANT,ROU,1708697.0
2000,ANT,RUS,623.0
2000,ANT,SDN,110533.0
2000,ANT,SGP,54406430.0
2000,ANT,SLV,76209453.0
2000,ANT,SVK,31551.0
2000,ANT,SVN,225.0
