year,origin,destination,migrant_stock
2000,ARM,HUN,144
2000,ARM,IRN,1287
2000,ARM,ISL,2
2000,ARM,ITA,202
2000,ARM,KAZ,7523
2000,ARM,KGZ,4449
2000,ARM,LBY,188
2000,ARM,LTU,681
2000,ARM,LVA,1073
2000,ARM,MDA,926
2000,ARM,MLT,15
2000,ARM,NAM,84
2000,ARM,NOR,33
2000,ARM,POL,641
2000,ARM,PRT,54
2000,ARM,RUS,478856
2000,ARM,SVK,94
2000,ARM,TJK,207
2000,ARM,TKM,7452
2000,ARM,UKR,54082
2000,ARM,UZB,7498
2000,ARM,VEN,29
2000,ATG,AUS,30
2000,ATG,BGR,3
2000,ATG,BHS,8
2000,ATG,BRB,267
2000,ATG,CHL,22
2000,ATG,CUW,56
2000,ATG,DMA,290
2000,ATG,DOM,325
2000,ATG,GRC,14
2000,ATG,GRD,35
2000,ATG,GUY,10
2000,ATG,JAM,165
2000,ATG,KNA,319
2000,ATG,LCA,90
2000,ATG,NAM,616
2000,ATG,NIC,65
2000,ATG,VCT,55
2000,AUS,AND,41
2000,AUS,ARG,1710
2000,AUS,ATG,6
2000,AUS,AZE,164
2000,AUS,BGR,66
2000,AUS,BHS,65
2000,AUS,BLR,28
2000,AUS,BOL,154
2000,AUS,BRA,441
2000,AUS,BRB,29
2000,AUS,BRN,482
2000,AUS,BTN,17
2000,AUS,BWA,114
2000,AUS,CAN,15831
2000,AUS,CHL,879
2000,AUS,CHN,9168
2000,AUS,COL,197
2000,AUS,CRI,51
2000,AUS,CYP,1355
2000,AUS,DMA,5
2000,AUS,DNK,1603
2000,AUS,DOM,82
2000,AUS,ECU,133
2000,AUS,EGY,519
2000,AUS,FIN,552
2000,AUS,FJI,1489
2000,AUS,GBR,104720
2000,AUS,GHA,19
2000,AUS,GRC,20267
2000,AUS,GTM,44
2000,AUS,HKG,7506
2000,AUS,HRV,753
2000,AUS,HUN,642
2000,AUS,IDN,7625
2000,AUS,IND,881
2000,AUS,IRL,7675
2000,AUS,ISL,61
2000,AUS,ISR,2616
2000,AUS,ITA,17612
2000,AUS,JPN,8830
2000,AUS,KHM,229
2000,AUS,KIR,86
2000,AUS,LAO,17
2000,AUS,LBY,551
2000,AUS,LCA,13
2000,AUS,LKA,150
2000,AUS,LTU,19
