year,origin,destination,route_count
2014,AUT,JOR,3
2014,AUT,JPN,2
2014,AUT,KAZ,2
2014,AUT,LTU,1
2014,AUT,LUX,2
2014,AUT,LVA,2
2014,AUT,MDA,1
2014,AUT,MKD,1
2014,AUT,MLT,4
2014,AUT,MNE,2
2014,AUT,NLD,5
2014,AUT,NOR,2
2014,AUT,POL,4
2014,AUT,PRT,6
2014,AUT,QAT,1
2014,AUT,ROU,8
2014,AUT,RUS,13
2014,AUT,SRB,3
2014,AUT,SVK,1
2014,AUT,SVN,2
2014,AUT,SWE,4
2014,AUT,THA,3
2014,AUT,TUN,1
2014,AUT,TWN,1
2014,AUT,UKR,10
2014,AUT,USA,6
2014,AZE,AFG,1
2014,AZE,ARE,2
2014,AZE,AUT,2
2014,AZE,BLR,1
2014,AZE,CHN,2
2014,AZE,CZE,2
2014,AZE,DEU,3
2014,AZE,FRA,2
2014,AZE,GBR,2
2014,AZE,GEO,2
2014,AZE,HUN,1
2014,AZE,IRN,3
2014,AZE,ISR,1
2014,AZE,ITA,4
2014,AZE,KAZ,4
2014,AZE,LVA,2
2014,AZE,QAT,2
2014,AZE,RUS,21
2014,AZE,TKM,2
2014,AZE,UKR,3
2014,AZE,UZB,1
2014,BDI,KEN,6
2014,BDI,RWA,6
2014,BDI,UGA,1
2014,BEL,AGO,4
2014,BEL,ARE,3
2014,BEL,AUT,2
2014,BEL,BDI,4
2014,BEL,BEN,4
2014,BEL,BFA,4
2014,BEL,BGR,4
2014,BEL,CAN,7
2014,BEL,CHE,6
2014,BEL,CHN,2
2014,BEL,CIV,3
2014,BEL,CMR,9
2014,BEL,CYP,2
2014,BEL,CZE,4
2014,BEL,DEU,15
2014,BEL,DNK,5
2014,BEL,DZA,1
2014,BEL,EGY,2
2014,BEL,ESP,57
2014,BEL,EST,2
2014,BEL,FIN,1
2014,BEL,FRA,37
2014,BEL,GBR,17
2014,BEL,GRC,20
2014,BEL,HRV,5
2014,BEL,HUN,3
2014,BEL,IND,4
2014,BEL,IRL,3
2014,BEL,ISL,1
2014,BEL,ISR,2
2014,BEL,ITA,44
2014,BEL,LBN,1
2014,BEL,LTU,5
2014,BEL,LVA,2
2014,BEL,MAR,22
2014,BEL,MKD,1
2014,BEL,MLT,2
2014,BEL,MNE,2
2014,BEL,NLD,1
2014,BEL,NOR,3
2014,BEL,POL,6
2014,BEL,PRT,18
2014,BEL,QAT,1
2014,BEL,ROU,4
2014,BEL,RUS,2
2014,BEL,RWA,5
2014,BEL,SEN,5
2014,BEL,SLE,3
2014,BEL,SRB,2
2014,BEL,SVK,1
2014,BEL,SVN,3
2014,BEL,SWE,7
2014,BEL,THA,2
2014,BEL,TUN,4
2014,BEL,UKR,2
2014,BEL,USA,21
2014,BEN,BFA,1
2014,BEN,CIV,8
2014,BEN,CMR,4
2014,BEN,ETH,1
2014,BEN,FRA,1
2014,BEN,GAB,3
2014,BEN,GHA,1
2014,BEN,GNQ,2
2014,BEN,KEN,1
2014,BEN,MLI,3
2014,BEN,NER,1
2014,BEN,NGA,3
2014,BEN,SEN,2
2014,BEN,TGO,3
2014,BFA,BEL,4
