Layer,Degree_Betweenness,Degree_Closeness,Betweenness_Closeness
Diplomatic,0.9074432073876659,0.9854891704207676,0.8849741389789564
Aviation,0.4352693392403327,0.9013677249882258,0.3314906248657933
Migration,0.6242034686876194,0.7547217142209779,0.5313115462675988
