combination,betweenness,degree
全レイヤー,0.15,0.6
移住+外交,0.1,0.9
移住+外交+航空,0.15,0.9
移住+外交+貿易,0.05,0.6
移住+航空,0.3,0.9
移住+航空+貿易,0.15,0.6
移住+貿易,0.0,0.6
移住のみ,0.1,0.9
