top_k,ratio,combination,code,layers,n_layers,accuracy,matches,predicted,matched_countries
30,3:1,移住のみ,M,migration,1,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN', 'TUR', 'KAZ', 'SGP', 'CHE', 'KWT', 'ARG', 'THA', 'ISR', 'NLD', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+外交,MD,migration+diplomacy,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'JPN', 'CIV', 'HKG']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,3:1,移住+外交,MD,migration+diplomacy,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'JPN', 'CIV', 'HKG', 'BEL', 'TUR', 'CHE', 'ARG', 'SGP', 'KWT', 'KAZ', 'NLD', 'THA', 'ISR']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+航空,MA,migration+aviation,2,0.95,19,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'HKG', 'JPN', 'JOR', 'TUR', 'MYS', 'CHN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,3:1,移住+航空,MA,migration+aviation,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'HKG', 'JPN', 'JOR', 'TUR', 'MYS', 'CHN', 'IRN', 'SGP', 'CIV', 'CHE', 'NLD', 'THA', 'GRC', 'BEL', 'KAZ', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+貿易,MT,migration+trade,2,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ITA', 'ESP', 'ARE', 'UKR', 'HKG', 'JPN', 'CHN', 'PAK', 'NLD', 'MYS', 'JOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,3:1,移住+貿易,MT,migration+trade,2,0.9,27,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ITA', 'ESP', 'ARE', 'UKR', 'HKG', 'JPN', 'CHN', 'PAK', 'NLD', 'MYS', 'JOR', 'SGP', 'IRN', 'BEL', 'CHE', 'TUR', 'CIV', 'THA', 'KOR', 'MEX', 'KAZ']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9,18,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'JPN', 'CHN', 'TUR', 'MYS', 'JOR', 'IRN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,3:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.8666666666666667,26,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'JPN', 'CHN', 'TUR', 'MYS', 'JOR', 'IRN', 'BEL', 'HKG', 'NLD', 'CHE', 'SGP', 'THA', 'GRC', 'CIV', 'AUT', 'ARG']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.85,17,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'ITA', 'AUS', 'ESP', 'CHN', 'JPN', 'ARE', 'UKR', 'HKG', 'PAK', 'NLD', 'BEL', 'MYS']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,3:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.8666666666666667,26,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'ITA', 'AUS', 'ESP', 'CHN', 'JPN', 'ARE', 'UKR', 'HKG', 'PAK', 'NLD', 'BEL', 'MYS', 'IRN', 'JOR', 'SGP', 'CHE', 'TUR', 'KOR', 'THA', 'CIV', 'MEX', 'AUT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.9,18,"['USA', 'DEU', 'RUS', 'GBR', 'FRA', 'CAN', 'ESP', 'SAU', 'ITA', 'IND', 'CHN', 'AUS', 'ARE', 'JPN', 'HKG', 'UKR', 'NLD', 'PAK', 'TUR', 'MYS']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
