weight_method,ratio,combination,code,layers,n_layers,centrality_type,accuracy,matches,predicted_top20,matched_countries
migration_centric,3:1,移住+外交,MD,migration+diplomacy,2,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'JPN', 'CIV', 'HKG']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,3:1,移住+航空,MA,migration+aviation,2,degree,0.95,19,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'HKG', 'JPN', 'JOR', 'TUR', 'MYS', 'CHN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,3:1,移住+貿易,MT,migration+trade,2,degree,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ITA', 'ESP', 'ARE', 'UKR', 'HKG', 'JPN', 'CHN', 'PAK', 'NLD', 'MYS', 'JOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,3:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.9,18,"['USA', 'RUS', 'DEU', 'GBR', 'FRA', 'SAU', 'ESP', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'PAK', 'JPN', 'CHN', 'TUR', 'MYS', 'JOR', 'IRN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,3:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.85,17,"['USA', 'DEU', 'RUS', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'ITA', 'AUS', 'ESP', 'CHN', 'JPN', 'ARE', 'UKR', 'HKG', 'PAK', 'NLD', 'BEL', 'MYS']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,3:1,移住+航空+貿易,MAT,migration+aviation+trade,3,degree,0.9,18,"['USA', 'DEU', 'RUS', 'GBR', 'FRA', 'CAN', 'ESP', 'SAU', 'ITA', 'IND', 'CHN', 'AUS', 'ARE', 'JPN', 'HKG', 'UKR', 'NLD', 'PAK', 'TUR', 'MYS']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,3:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,degree,0.85,17,"['USA', 'DEU', 'RUS', 'GBR', 'FRA', 'CAN', 'ESP', 'SAU', 'ITA', 'IND', 'CHN', 'AUS', 'ARE', 'JPN', 'UKR', 'HKG', 'NLD', 'BEL', 'PAK', 'TUR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,2:1,移住のみ,M,migration,1,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,2:1,移住+外交,MD,migration+diplomacy,2,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'JPN', 'MYS', 'BEL', 'TUR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,2:1,移住+航空,MA,migration+aviation,2,degree,0.95,19,"['USA', 'DEU', 'RUS', 'GBR', 'FRA', 'ESP', 'SAU', 'CAN', 'ITA', 'IND', 'ARE', 'AUS', 'UKR', 'PAK', 'CHN', 'JPN', 'TUR', 'HKG', 'MYS', 'JOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,2:1,移住+貿易,MT,migration+trade,2,degree,0.85,17,"['USA', 'DEU', 'RUS', 'FRA', 'CAN', 'GBR', 'SAU', 'IND', 'ITA', 'ESP', 'CHN', 'AUS', 'JPN', 'HKG', 'ARE', 'UKR', 'NLD', 'PAK', 'MYS', 'SGP']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,2:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.85,17,"['USA', 'DEU', 'RUS', 'GBR', 'FRA', 'ESP', 'SAU', 'CAN', 'ITA', 'IND', 'AUS', 'ARE', 'UKR', 'CHN', 'JPN', 'PAK', 'TUR', 'BEL', 'MYS', 'NLD']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,2:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.85,17,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'CAN', 'SAU', 'IND', 'ITA', 'CHN', 'ESP', 'JPN', 'AUS', 'ARE', 'UKR', 'HKG', 'NLD', 'BEL', 'PAK', 'MYS']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,2:1,移住+航空+貿易,MAT,migration+aviation+trade,3,degree,0.8,16,"['USA', 'DEU', 'GBR', 'RUS', 'FRA', 'ESP', 'CAN', 'ITA', 'SAU', 'CHN', 'IND', 'JPN', 'ARE', 'AUS', 'HKG', 'NLD', 'UKR', 'TUR', 'SGP', 'BEL']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
migration_centric,2:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,degree,0.8,16,"['USA', 'DEU', 'GBR', 'RUS', 'FRA', 'ESP', 'CAN', 'ITA', 'CHN', 'SAU', 'IND', 'JPN', 'AUS', 'ARE', 'NLD', 'HKG', 'BEL', 'UKR', 'TUR', 'KOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
