Country,Degree,Rank
USA,45880273.0,1
IND,21002889.0,2
RUS,15928611.0,3
DEU,15341286.0,4
SAU,12794799.0,5
MEX,12776678.0,6
CHN,12060124.0,7
GBR,12049177.0,8
FRA,9971826.0,9
BGD,9827723.0,10
PAK,9548497.0,11
SYR,9453551.0,12
CAN,9376223.0,13
TUR,9271826.0,14
ITA,9049616.0,15
UKR,8923497.0,16
ESP,8262239.0,17
AUS,7749269.0,18
ARE,7107965.0,19
VEN,6781244.0,20
