年,外交×航空,外交×移民,航空×移民,p値_外交×航空,p値_外交×移民,p値_航空×移民
2000,0.12351321261144739,0.04645622648123636,0.3805559994151213,3.804697061268153e-08,0.03923161276530133,6.551534340075947e-69
2005,0.02815966750895318,0.00816175853865502,0.39045013976063836,0.19814763825529447,0.7092153051066101,4.499979669521391e-77
2010,0.04241183276872664,0.03494707129804394,0.4071034786427141,0.04719736695873968,0.10204925372422063,3.378878827536144e-88
2015,0.011949343941975442,-0.02876393469885904,0.4114358714636085,0.5771910884851164,0.17953089056859756,8.798094127334791e-90
2020,-0.016163406634159314,-0.0674695914723503,0.4100080671156098,0.4478791633285998,0.0015167818262657982,3.0976536196841926e-90
