Country,Degree,Rank
USA,4909.0,1
GBR,4664.0,2
DEU,4252.0,3
ESP,3881.0,4
FRA,2845.0,5
ITA,2705.0,6
CHN,2384.0,7
RUS,1754.0,8
ARE,1446.0,9
CAN,1371.0,10
TUR,1345.0,11
JPN,1321.0,12
GRC,1131.0,13
NLD,1117.0,14
KOR,1010.0,15
MEX,962.0,16
IND,895.0,17
PRT,849.0,18
CHE,835.0,19
SGP,820.0,20
