year,origin,destination,route_count
2000,AUT,KAZ,2
2000,AUT,LTU,1
2000,AUT,LUX,2
2000,AUT,LVA,2
2000,AUT,MDA,1
2000,AUT,MKD,1
2000,AUT,MLT,4
2000,AUT,MNE,2
2000,AUT,NLD,5
2000,AUT,NOR,2
2000,AUT,POL,4
2000,AUT,PRT,6
2000,AUT,QAT,1
2000,AUT,ROU,8
2000,AUT,RUS,13
2000,AUT,SRB,3
2000,AUT,SVK,1
2000,AUT,SVN,2
2000,AUT,SWE,4
2000,AUT,THA,3
2000,AUT,TUN,1
2000,AUT,TUR,19
2000,AUT,TWN,1
2000,AUT,UKR,10
2000,AUT,USA,6
2000,AZE,AFG,1
2000,AZE,ARE,2
2000,AZE,AUT,2
2000,AZE,BLR,1
2000,AZE,CHN,2
2000,AZE,CZE,2
2000,AZE,DEU,3
2000,AZE,FRA,2
2000,AZE,GBR,2
2000,AZE,GEO,2
2000,AZE,HUN,1
2000,AZE,IRN,3
2000,AZE,ISR,1
2000,AZE,ITA,4
2000,AZE,KAZ,4
2000,AZE,LVA,2
2000,AZE,QAT,2
2000,AZE,RUS,21
2000,AZE,TKM,2
2000,AZE,TUR,6
2000,AZE,UKR,3
2000,AZE,UZB,1
2000,BEL,AGO,4
2000,BEL,ARE,3
2000,BEL,AUT,2
2000,BEL,BEN,4
2000,BEL,BFA,4
2000,BEL,BGR,4
2000,BEL,CAN,7
2000,BEL,CHE,6
2000,BEL,CHN,2
2000,BEL,CIV,3
2000,BEL,CMR,9
2000,BEL,CYP,2
2000,BEL,CZE,4
2000,BEL,DEU,15
2000,BEL,DNK,5
2000,BEL,DZA,1
2000,BEL,EGY,2
2000,BEL,ESP,57
2000,BEL,EST,2
2000,BEL,FIN,1
2000,BEL,FRA,37
2000,BEL,GBR,17
2000,BEL,GRC,20
2000,BEL,HRV,5
2000,BEL,HUN,3
2000,BEL,IND,4
2000,BEL,IRL,3
2000,BEL,ISL,1
2000,BEL,ISR,2
2000,BEL,ITA,44
2000,BEL,LBN,1
2000,BEL,LTU,5
2000,BEL,LVA,2
2000,BEL,MAR,22
2000,BEL,MKD,1
2000,BEL,MLT,2
2000,BEL,MNE,2
2000,BEL,NLD,1
2000,BEL,NOR,3
2000,BEL,POL,6
2000,BEL,PRT,18
2000,BEL,QAT,1
2000,BEL,ROU,4
2000,BEL,RUS,2
2000,BEL,RWA,5
2000,BEL,SEN,5
2000,BEL,SLE,3
2000,BEL,SRB,2
2000,BEL,SVK,1
2000,BEL,SVN,3
2000,BEL,SWE,7
2000,BEL,THA,2
2000,BEL,TUN,4
2000,BEL,TUR,8
2000,BEL,UKR,2
2000,BEL,USA,21
2000,BEN,BFA,1
2000,BEN,CIV,8
2000,BEN,CMR,4
2000,BEN,ETH,1
2000,BEN,FRA,1
