year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock,trade_value
2000,AFG,ZAF,,,,25686.0
2000,AFG,ZWE,,,,6576.0
2000,AGO,ARE,,2,,
2000,AGO,ARG,,,,13550090.0
2000,AGO,AUS,,,417,42648.0
2000,AGO,AUT,6,,,2095.0
2000,AGO,BEL,6,,1801,627144560.0
2000,AGO,BFA,,,,16937.0
2000,AGO,BGR,,,4,1184.0
2000,AGO,BOL,,,4,
2000,AGO,BRA,6,2,7744,31221253.0
2000,AGO,BWA,6,,1320,123.0
2000,AGO,CAN,4,,,24793401.0
2000,AGO,CHE,,,,3562.0
2000,AGO,CHL,,,,83680141.0
2000,AGO,CHN,6,1,,1613991347.0
2000,AGO,CIV,6,,,16271.0
2000,AGO,COD,6,,325733,
2000,AGO,COG,,,31100,
2000,AGO,CPV,,,2209,3106.0
2000,AGO,CRI,,,2,1271.0
2000,AGO,CUB,6,1,106,39415.0
2000,AGO,CZE,,,,39877.0
2000,AGO,DEU,6,1,,85290636.0
2000,AGO,DNK,,,113,12906.0
2000,AGO,DZA,6,,,9691.0
2000,AGO,EGY,6,,,
2000,AGO,ERI,,,620,
2000,AGO,ESP,6,1,,165685416.0
2000,AGO,EST,,,,1192.0
2000,AGO,ETH,6,2,,990.0
2000,AGO,FIN,,,94,3097.0
2000,AGO,FRA,6,1,,332047670.0
2000,AGO,GAB,6,,572,986.0
2000,AGO,GBR,6,2,,3000793.0
2000,AGO,GRC,,,19,
2000,AGO,HKG,,,,146912.0
2000,AGO,HUN,,,53,
2000,AGO,IDN,,,,9156.0
2000,AGO,IRL,,,,38871.0
2000,AGO,IRN,6,,,
2000,AGO,ISL,,,19,
2000,AGO,ITA,6,,1054,18012110.0
2000,AGO,JPN,,,,2756544.0
2000,AGO,KEN,,1,,17008.0
2000,AGO,KHM,,,,598.0
2000,AGO,KOR,,,,572364070.0
2000,AGO,LBN,,,,7003.0
2000,AGO,LVA,,,2,
2000,AGO,MAC,,,,4496.0
2000,AGO,MAR,6,1,,
2000,AGO,MEX,4,,46,32383.000000000004
2000,AGO,MLI,,,67,
2000,AGO,MOZ,6,1,22937,
2000,AGO,NAM,6,3,49790,1989826.0
2000,AGO,NGA,6,,,862026.0
2000,AGO,NLD,,1,,36033927.0
2000,AGO,NOR,,,103,173630.0
2000,AGO,PHL,,,,62751.0
2000,AGO,PRT,6,3,173193,47274187.0
2000,AGO,ROU,,,,1000.0
2000,AGO,RUS,6,,,5019.0
2000,AGO,SGP,,,,7442941.0
2000,AGO,SLV,,,,35645.0
2000,AGO,SRB,6,,,
2000,AGO,STP,4,,654,2928792.0
2000,AGO,SVK,6,,16,518.0
2000,AGO,SVN,,,,45276.0
2000,AGO,SWE,6,,,36534.0
2000,AGO,SWZ,,,166,36.0
2000,AGO,TGO,,,,3012.0
2000,AGO,THA,,,,21511318.0
2000,AGO,TUN,,,,43485.0
2000,AGO,TWN,,,,262902922.00000003
2000,AGO,TZA,6,,1018,
2000,AGO,USA,6,,,3112043071.0
2000,AGO,VAT,6,,,
2000,AGO,VEN,,,161,19793.0
2000,AGO,VNM,,,,44869.0
2000,AGO,ZAF,6,3,,9754669.0
2000,AGO,ZMB,6,,238248,
2000,AGO,ZWE,6,1,,542.0
2000,AIA,ATG,,1,,12636.0
2000,AIA,AUT,,,,14481.0
2000,AIA,AZE,,,,91212.0
2000,AIA,BEL,,,,1755.0
2000,AIA,BGR,,,,203.0
2000,AIA,BLR,,,,387.0
2000,AIA,BRB,,,,8505.0
2000,AIA,CAN,,,,5751.0
2000,AIA,CHE,,,,29919.0
2000,AIA,DEU,,,,22510.0
2000,AIA,DMA,,,,16184.000000000002
2000,AIA,ESP,,,,34248.0
2000,AIA,EST,,,,14868.0
2000,AIA,FRA,,,,568264.0
2000,AIA,GBR,,,,205745.0
2000,AIA,GRC,,,,10125.0
2000,AIA,GRD,,,,69735.0
2000,AIA,GUY,,,,115.0
2000,AIA,IDN,,,,44084.0
2000,AIA,IRL,,,,38102.0
2000,AIA,ITA,,,,590.0
2000,AIA,JAM,,,,9122.0
2000,AIA,JPN,,,,133300.0
2000,AIA,KHM,,,,756.0
2000,AIA,KNA,,,,8811.0
2000,AIA,KOR,,,,125168.0
2000,AIA,MEX,,,,1702.0
2000,AIA,NAM,,,,20.0
2000,AIA,NLD,,,,25780.0
2000,AIA,PRI,,2,,
2000,AIA,RUS,,,,53805.0
2000,AIA,SLV,,,,66048.0
2000,AIA,SVK,,,,150.0
2000,AIA,SWE,,,,1091.0
2000,AIA,TTO,,,,4762.0
2000,AIA,TZA,,,,5058.0
2000,AIA,USA,,,,875228.0
2000,AIA,VCT,,,,48958.0
2000,AIA,VNM,,,,13291.0
2000,AIA,ZAF,,,,3966.0
2000,AIA,ZWE,,,,6881.0
2000,ALB,AFG,,,,209.0
2000,ALB,AND,,,,52703.0
2000,ALB,ARG,,,,2209.0
2000,ALB,AUS,,,1529,283722.0
2000,ALB,AUT,6,1,1758,3715244.0
2000,ALB,BEL,6,,1080,1218480.0
2000,ALB,BGR,6,,528,131384.0
2000,ALB,BLR,,,,1236159.0
2000,ALB,BOL,,,,1143.0
2000,ALB,BRA,,,,333187.0
2000,ALB,BRB,,,,464.0
2000,ALB,CAN,,,4254,102773.0
2000,ALB,CHE,6,,,458303.0
2000,ALB,CHL,,,36,6931.0
2000,ALB,CHN,6,,,2018.0
2000,ALB,CIV,,,,6835.0
2000,ALB,CMR,,,,6549.0
